model,optimizer,detector_type,detector,ood_dataset,auroc,fpr95,aupr_in,run_id,raw_import_path
SGD Nesterov,sgd_nesterov,logit,neg_entropy,cifar100,0.872525465,0.5575,0.8430034439739742,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,logit,energy_id_score,mnist,0.89139664,0.4591,0.8871561192235378,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,logit,energy_id_score,svhn,0.9657491452827289,0.1411724031960664,0.9142492828403871,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,logit,neg_entropy,tiny_imagenet,0.864949675,0.5484,0.826916850712878,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,feature,gmm_ddu_shrinkage,cifar100,0.909301465,0.4832,0.9144032147166159,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,feature,mahalanobis_l2,mnist,0.95891706,0.2618,0.9645085460654921,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,feature,mahalanobis_l2,svhn,0.9895675975722188,0.06100184388444991,0.9753303794262937,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,feature,gmm_ddu_shrinkage,tiny_imagenet,0.90237749,0.4745,0.9009010872531045,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
Adam matched,adam_matched,logit,maxlogit,cifar100,0.82251698,0.7038,0.8301790679398368,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,logit,energy_id_score,mnist,0.98677691,0.0554,0.9892754621753626,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,logit,neg_entropy,svhn,0.9289248367393976,0.46262292562999385,0.8920261549617265,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,logit,maxlogit,tiny_imagenet,0.826552625,0.6851,0.8338275156025236,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,feature,knn_l2,cifar100,0.77667709,0.7231,0.7748982114653322,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,feature,mahalanobis_l2,mnist,0.99739351,0.0029,0.9978939546503452,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,feature,mahalanobis_l2,svhn,0.9788105639213276,0.10752151198524892,0.9529276174432619,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,feature,knn_l2,tiny_imagenet,0.774081025,0.7489,0.7797465507818031,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
AdamW matched,adamw_matched,logit,maxlogit,cifar100,0.90108163,0.5323,0.9109034006535177,20260521_1104_curie_cifar10_standard-wrn-28-10-dropout03_adamw_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260521_1104_curie_cifar10_standard-wrn-28-10-dropout03_adamw_matched_seed0
AdamW matched,adamw_matched,logit,neg_entropy,mnist,0.949752975,0.3851,0.9633114457645895,20260521_1104_curie_cifar10_standard-wrn-28-10-dropout03_adamw_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260521_1104_curie_cifar10_standard-wrn-28-10-dropout03_adamw_matched_seed0
