model,optimizer,detector_type,detector,ood_dataset,auroc,fpr95,aupr_in,run_id,raw_import_path
SGD Nesterov,sgd_nesterov,logit,energy_id_score,cifar100,0.85476227,0.4803,0.8050681249286264,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,logit,energy_id_score,mnist,0.89139664,0.4591,0.8871561192235378,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,logit,energy_id_score,svhn,0.9657491452827289,0.1411724031960664,0.9142492828403871,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,logit,energy_id_score,tiny_imagenet,0.851616625,0.455,0.7951481346079825,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,logit,maxlogit,cifar100,0.85461991,0.4859,0.8050379951130576,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,logit,maxlogit,mnist,0.89031323,0.4726,0.8866611036915837,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,logit,maxlogit,svhn,0.9649814459127228,0.14831745543945912,0.9135234286637941,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,logit,maxlogit,tiny_imagenet,0.85129725,0.4633,0.7950235892664894,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,logit,msp,cifar100,0.87150364,0.5669,0.8471007003996649,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,logit,msp,mnist,0.872894935,0.6736,0.8840572354811391,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
